file,score_1_to_10,lines,ruff_issue_count,key_signals,improvement
tests/test_mcp_client.py,7.8,37,0,clean_static_signals,Keep stable; preserve with tests
tests/test_menu_bar.py,7.8,109,0,clean_static_signals,Keep stable; preserve with tests
tests/test_model_registry.py,7.8,49,0,clean_static_signals,Keep stable; preserve with tests
tests/test_onboarding.py,7.8,30,0,clean_static_signals,Keep stable; preserve with tests
tests/test_orchestration_pipeline.py,7.8,200,0,clean_static_signals,Keep stable; preserve with tests
tests/test_overage.py,7.8,59,0,clean_static_signals,Keep stable; preserve with tests
tests/test_panel_resizer.py,7.8,229,0,clean_static_signals,Keep stable; preserve with tests
tests/test_phase_tracker.py,7.8,137,0,clean_static_signals,Keep stable; preserve with tests
tests/test_project_init.py,7.8,97,0,clean_static_signals,Keep stable; preserve with tests
tests/test_proxy_billing.py,7.8,94,0,clean_static_signals,Keep stable; preserve with tests
tests/test_quality_tiers.py,7.8,42,0,clean_static_signals,Keep stable; preserve with tests
tests/test_router_elo_feedback.py,7.8,73,0,clean_static_signals,Keep stable; preserve with tests
tests/test_router_intents.py,7.8,83,0,clean_static_signals,Keep stable; preserve with tests
tests/test_self_healing_contract.py,7.8,50,0,clean_static_signals,Keep stable; preserve with tests
tests/test_slash_commands.py,7.8,113,0,clean_static_signals,Keep stable; preserve with tests
tests/test_spending_cap_enforcement.py,7.8,86,0,clean_static_signals,Keep stable; preserve with tests
tests/test_task_tracker.py,7.8,47,0,clean_static_signals,Keep stable; preserve with tests
tests/test_tester_agent_contract.py,7.8,121,0,clean_static_signals,Keep stable; preserve with tests
tests/test_toast.py,7.8,54,0,clean_static_signals,Keep stable; preserve with tests
tests/test_tui_layout_regressions.py,7.0,50,6,ruff=6; W293:3; W291:1; I001:1,Fix correctness lint issues first | Run formatter + lint autofix
tests/test_workspace.py,7.8,126,0,clean_static_signals,Keep stable; preserve with tests
web/app/acceptable-use/page.tsx,8.2,51,0,clean_static_signals,Keep stable; preserve with tests
web/app/api/auth/signin/route.ts,8.2,43,0,clean_static_signals,Keep stable; preserve with tests
web/app/api/auth/signout/route.ts,8.2,9,0,clean_static_signals,Keep stable; preserve with tests
web/app/api/usage/route.ts,8.2,30,0,clean_static_signals,Keep stable; preserve with tests
web/app/auth/callback/route.ts,8.2,4,0,clean_static_signals,Keep stable; preserve with tests
web/app/auth/page.tsx,8.2,118,0,clean_static_signals,Keep stable; preserve with tests
